STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.39435317 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region csr,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
TABLE,Region csr,Group 1 Metric,UOPS,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
Runtime (RDTSC) [s],2.5456,2.4906,2.4955,2.4673,2.4825,2.4369,2.4948,2.4693,2.6486,2.7948,2.7841,2.8037,2.8263,2.8012,2.7818,2.7617,2.4274,2.4431,2.4564,2.4072,2.4075,2.3893,2.4521,2.3734,2.6096,2.7559,2.7271,2.7581,2.7879,2.7725,2.7265,2.7498,
Runtime unhalted [s],2.8476,2.8032,2.8251,2.7952,2.8118,2.7645,2.8221,2.7884,3.0234,3.1522,3.1262,3.1566,3.1899,3.1620,3.1349,3.1429,2.7734,2.7757,2.7958,2.7539,2.7539,2.7222,2.7925,2.7292,3.0052,3.1387,3.1055,3.1307,3.1658,3.1434,3.1086,3.1353,
Clock [MHz],2580.9125,2580.6618,2580.2344,2580.4012,2578.8005,2578.2090,2578.7808,2581.7064,2573.2877,2572.7679,2573.6109,2575.7080,2577.1499,2578.3376,2579.2669,2583.6973,2580.9078,2580.6775,2580.1351,2580.2291,2578.4035,2578.1919,2579.6694,2582.1849,2573.4602,2573.7043,2575.3159,2575.8092,2577.1209,2578.3284,2579.4147,2583.7619,
CPI,1.3647,1.3612,1.3633,1.3606,1.3638,1.3572,1.3661,1.3604,1.4054,1.3960,1.3958,1.3976,1.4007,1.3991,1.3995,1.4021,1.3502,1.3530,1.3567,1.3491,1.3476,1.3436,1.3573,1.3453,1.4012,1.3946,1.3926,1.3960,1.3983,1.3981,1.3968,1.3994,
Issued UOPs,5592920000,5455511000,5515946000,5433729000,5469855000,5349350000,5485442000,5407379000,5896969000,6403329000,6316238000,6404379000,6493683000,6409998000,6313210000,6319804000,5421977000,5407686000,5452463000,5358179000,5368346000,5283688000,5432769000,5295775000,5852006000,6355023000,6256642000,6315578000,6416522000,6341225000,6231034000,6299118000,
Merged UOPs,7343372,7384988,7460438,7475798,7540568,7545229,7632672,7647539,7674864,7701064,7750114,7794083,7863643,7860996,7930021,8003258,7982699,8026839,8071226,8106720,8160670,8166230,8248666,8269264,8318793,8345241,8386201,8422903,8493953,8511950,8556965,8653429,
Executed UOPs,6264850000,6171233000,6211027000,6157476000,6184183000,6102969000,6190497000,6146800000,6452783000,6767021000,6712200000,6771092000,6826866000,6772001000,6712969000,6717218000,5288304000,5279193000,5305163000,5252168000,5258170000,5209851000,5295183000,5213706000,5553556000,5865127000,5804008000,5841595000,5905473000,5859282000,5792504000,5832829000,
Retired UOPs,6169238000,6032042000,6090976000,6008828000,6044004000,5923917000,6060190000,5982390000,6471029000,6980402000,6892090000,6981480000,7070388000,6986788000,6889051000,6895067000,5996996000,5983575000,6027593000,5933677000,5942823000,5858857000,6007702000,5870716000,6426115000,6931712000,6832226000,6892020000,6992779000,6917585000,6806694000,6875046000,
