STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394343975 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
CPI,4.2272,4.2195,4.2150,4.2290,4.2168,4.2488,4.1556,4.2496,4.2355,4.2531,4.2543,4.2521,4.2542,4.2551,4.2552,4.2542,3.1830,3.3646,3.4542,3.5289,3.5972,3.6392,3.6815,3.7164,3.7634,3.7896,3.8122,3.8351,3.8540,3.8707,3.8870,3.9023,
Issued UOPs,22113839455,36910438585,45928851648,52980695913,59004442517,64231585313,69261048724,73327745304,77434605682,81180708405,84678827958,88119812631,91400053903,94362300802,97451057101,100208426546,103112777779,105710478648,108378344451,110856102615,113183052086,115680980016,117922926503,120137559842,122234034760,124379255583,126399501556,128450988600,130521830523,132419479228,134502170326,136268302078,
Merged UOPs,44866,60508,26451,368310,187498,39024,167134,41616,136434,30633,464,56312,15316,169,19,18528,318719,294900,625748,306206,270156,265523,258834,605833,18,68,12,18,15,21,21,15,
Executed UOPs,22872720848,38186386557,47528339798,54827562074,61057996108,66475250807,71717043796,75889411381,80155068431,84016826674,87636789295,91200223286,94595582910,97658443845,100856087620,103712726690,94703656753,95753507754,97406301755,99050461884,100659204154,102489549129,104137053342,105815123828,107369671583,109031448210,110603634666,112194226459,113830491543,115330246108,116994406263,118382156631,
Retired UOPs,22063691652,36850722592,45883721654,52932290020,58947801047,64176312372,69252106533,73270727143,77387383389,81124934855,84623003768,88064725283,91343988870,94305563519,97394176920,100151711903,103020534764,105619161410,108292702083,110769453464,113100094824,115607020057,117838878307,120059046495,122162090199,124306068014,126329027890,128380717207,130451438604,132350207616,134433383427,136199797565,
TABLE,Group 1 Metric STAT,UOPS,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runtime (RDTSC) [s] STAT,993.3632,31.0426,31.0426,31.0426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runtime unhalted [s] STAT,759.6298,5.9693,33.6693,23.7384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clock [MHz] STAT,82870.1351,2562.7436,2635.3582,2589.6917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI STAT,126.6545,3.1830,4.2552,3.9580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issued UOPs STAT,3068752225081,22113839455,136268302078,9.589851e+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merged UOPs STAT,4139389,12,625748,129355.9062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executed UOPs STAT,2882137600182,22872720848,118382156631,9.006680e+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retired UOPs STAT,3066692483446,22063691652,136199797565,9.583414e+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
