STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394272611 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region csr,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
TABLE,Region csr,Group 1 Metric,UOPS,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
Runtime (RDTSC) [s],2.7681,2.7147,2.6846,2.6449,2.7088,2.6450,2.6679,2.6305,2.3265,2.4505,2.3972,2.3876,2.4783,2.4476,2.4155,2.4194,2.6696,2.6585,2.6196,2.5988,2.6704,2.6129,2.6278,2.5592,2.3253,2.4636,2.4042,2.4063,2.4658,2.4628,2.4309,2.4373,
Runtime unhalted [s],3.0806,3.0385,3.0133,3.0073,1.6537,1.6418,3.0226,2.9685,2.6954,2.7844,2.7505,2.7377,2.8176,2.8053,2.7738,2.7741,2.9963,2.9904,2.9433,2.9570,3.0001,2.9813,2.9767,2.8961,2.6938,2.7974,2.7611,2.7685,2.8068,2.8203,2.7902,2.7982,
Clock [MHz],2569.9354,2571.0905,2573.0412,2573.8945,2567.1460,2573.8307,2570.3986,2575.3170,2564.5849,2563.4956,2566.2245,2565.9022,2570.1501,2575.6089,2574.6636,2579.0117,2570.5397,2571.4759,2573.4589,2573.5506,2569.7831,2574.3636,2570.6296,2576.7545,2564.4912,2563.1629,2567.0034,2566.2010,2570.2647,2575.6371,2574.4330,2579.3317,
CPI,1.4696,1.4791,1.4786,1.4828,1.4844,1.4873,1.4807,1.4868,1.4713,1.4736,1.4672,1.4651,1.4787,1.4805,1.4739,1.4785,1.4764,1.4799,1.4752,1.4791,1.4785,1.4810,1.4781,1.4805,1.4693,1.4720,1.4663,1.4690,1.4750,1.4810,1.4752,1.4769,
Issued UOPs,6067655000,5863026000,5787169000,5740875000,3174058000,3125191000,5802566000,5586663000,4796259000,5069560000,4999645000,4968696000,5145958000,5093015000,5027829000,5004125000,5737263000,5694437000,5572890000,5589228000,5732163000,5653980000,5658605000,5383180000,4791529000,5109693000,5026520000,5032893000,5119212000,5125323000,5063956000,5072111000,
Merged UOPs,7362133,7407496,7464816,7492497,4092950,4115724,7605527,7645995,7697656,7714431,7768623,7792084,7873327,7919993,7946144,7994124,7993109,8047033,8068467,8113207,8152351,8192519,8228659,8254597,8324995,8350339,8415696,8433169,8500637,8540670,8572705,8637723,
Executed UOPs,6335322000,6201695000,6159699000,6123729000,3361425000,3330757000,6162297000,6035480000,5518292000,5689756000,5644011000,5620644000,5742261000,5704080000,5664573000,5649001000,5273814000,5245734000,5167186000,5179764000,5269663000,5218403000,5221558000,5051214000,4687284000,4876456000,4827973000,4831374000,4886235000,4889356000,4851541000,4858887000,
Retired UOPs,6584438000,6378286000,6300260000,6254316000,3453480000,3404398000,6315977000,6098574000,5311833000,5585263000,5514226000,5484463000,5660960000,5608444000,5543005000,5518128000,6249877000,6207382000,6084656000,6102167000,6245286000,6167058000,6171224000,5894131000,5307014000,5625088000,5540945000,5548460000,5634378000,5640628000,5578570000,5587601000,
