STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394265535 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,NUMA,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
Remote DRAM bandwidth [MByte/s],2.9788,0.0208,0.0029,0.0039,0.0006,0.0322,0.0281,0.0927,0.3649,0.3620,0.3645,0.3612,0.3674,0.3637,0.3550,0.4790,0.0413,0.0933,0.0267,0,0,0.0102,2.265457e-05,0.0922,0.3529,0.3589,0.3845,0.3503,0.3594,0.3574,0.3600,0.3333,
Memory data volume [GByte],0.0638,0.0023,0.0023,0.0023,0.0022,0.0027,0.0022,0.0022,0.0031,0.0031,0.0032,0.0031,0.0031,0.0031,0.0030,0.0027,0.0021,0.0037,0.0030,0.0022,0.0023,0.0023,0.0018,0.0021,0.0030,0.0032,0.0033,0.0030,0.0031,0.0031,0.0031,0.0019,
Memory bandwidth [MByte/s],11.2968,0.3996,0.4098,0.4012,0.3921,0.4728,0.3887,0.3864,0.5496,0.5497,0.5604,0.5438,0.5491,0.5464,0.5360,0.4853,0.3804,0.6530,0.5346,0.3918,0.3995,0.4078,0.3267,0.3801,0.5389,0.5584,0.5926,0.5378,0.5470,0.5434,0.5454,0.3353,
TABLE,Group 1 Metric STAT,NUMA,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runtime (RDTSC) [s] STAT,180.8032,5.6501,5.6501,5.6501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runtime unhalted [s] STAT,6.8908,0.0068,6.6064,0.2153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clock [MHz] STAT,45691.9885,1224.4006,3122.0832,1427.8746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI STAT,145.3708,0.3765,6.9030,4.5428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local DRAM data volume [GByte] STAT,0.0950,1.139200e-05,0.0470,0.0030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local DRAM bandwidth [MByte/s] STAT,16.8426,0.0020,8.3181,0.5263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remote DRAM data volume [GByte] STAT,0.0525,0,0.0168,0.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remote DRAM bandwidth [MByte/s] STAT,9.2981,0,2.9788,0.2906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memory data volume [GByte] STAT,0.1476,0.0018,0.0638,0.0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memory bandwidth [MByte/s] STAT,26.1404,0.3267,11.2968,0.8169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
